"A San Benedetto la rondine sotto il tetto.","previsioni;tradizioni"
"A San Martino ogni mosto è vino.","trasformazione;tradizioni"
"A brigante brigante e mezzo.","vendetta;giustizia"
"A buon cavalier non manca lancia.","abilità;opportunità"
"A buon cavallo non manca sella.","merito;opportunità"
"A buon cavallo non occorre dir trotta.","competenza;indipendenza"
"A buon intenditor poche parole.","comprensione;intelligenza"
"A buon rendere.","giustizia;reciprocità"
"A caldo autunno segue lungo inverno.","previsioni;clima"
"A cane scottato l'acqua fredda par calda.","esperienza;percezione"
"A cane vecchio non dargli cuccia.","esperienza;utilità"
"A carnevale ogni scherzo vale, ma che sia uno scherzo che sa di sale.","moderazione;tradizioni"
"A caval che corre, non abbisognano speroni.","competenza;spontaneità"
"A caval donato non si guarda in bocca.","gratitudine;generosità"
"A caval nuovo cavaliere vecchio.","esperienza;novità"
"A cavalier novizio, cavallo senza vizio.","esperienza;prudenza"
"A cavallo d'altri non si dice zoppo.","rispetto;gratitudine"
"A cavallo di fuoco, uomo di paglia, a uomo di fuoco, cavallo di paglia.","compatibilità;equilibrio"
"A cavallo giovane, cavalier vecchio.","esperienza;gioventù"
"A chi Dio vuole aiutare, niente gli può nuocere.","protezione;fede"
"A chi batte forte, si apron le porte.","determinazione;successo"
"A chi dai il dito, si prende anche il braccio.","generosità;abuso"
"A chi fortuna zufola, ha un bel ballare.","fortuna;successo"
"A chi ha abbastanza, non manca nulla.","soddisfazione;abbondanza"
"A chi mangia sempre polli vien voglia di polenta.","varietà;noia"
"A chi non muore in culla ne tocca sempre qualcuna.","destino;difficoltà"
"A chi non piace il vino, il Signore faccia mancar l'acqua.","preferenza;punizione"
"A chi non può imparare l'abbicì, non si può dare in mano la Bibbia.","educazione;comprensione"
"A chi non vuol credere sono inutili tutte le prove.","scetticismo;testimonianza"
"A chi non vuol far fatiche, il terreno produce ortiche.","lavoro;conseguenze"
"A chi poco non basta, niente basta.","insoddisfazione;avidità"
"A chi prende moglie ci vogliono due cervelli.","matrimonio;prudenza"
"A chi tanto e a chi niente.","ineguaglianza;ingiustizia"
"A chi ti dà il cappone, dagli la coscia e l'alone.","generosità;reciprocità"
"A chi ti porge un dito non prendere la mano.","moderazione;avvertimento"
"A chi vive di rapina non c'è cosa che sia nociva.","criminalità;immunità"
"A chi vuole fare del male non manca l'occasione.","intenzioni;opportunità"
"A ciascun giorno basta la sua pena.","realismo;giorno"
"A ciascuno l'arte sua, e le pecore ai lupi.","competenza;conseguenze"
"A ciascuno le proprie oche sembrano cigni.","prospettiva;illusione"
"A ciascuno sta bene il proprio abito.","autostima;accettazione"
"A confessore, medico e avvocato non tener il ver celato.","onestà;fiducia"
"A donna di gran bellezza, dalla poca larghezza.","bellezza;generosità"
"A duro ceppo, dura accetta.","determinazione;sfida"
"A goccia a goccia si scava la roccia.","pazienza;determinazione"
"A granella a granella si riempie lo staio e si fa il monte.","pazienza;accumulazione"
"A grassa cucina povertà vicina.","eccesso;povertà"
"A lavar la testa all'asino si perde il ranno e il sapone.","sforzo;inutilità"
"A lume spento è pari ogni bellezza.","relatività;percezione"
"A mali estremi, estremi rimedi.","soluzione;difficoltà"
"A menar il can per l'aia.","perdita di tempo;distrazione"
"A morire e a pagare c'è sempre tempo.","responsabilità;inevitabilità"
"A muro basso ognuno ci si appoggia.","vulnerabilità;opportunismo"
